	1	2	4	8	16	32	64
1	97339.68	115843.92	105926.04	111966.21	87012.19	67477.34	37412.44
2	614103.58	544946.59	418933.98	327825.04	181123.95	90170.17	43925.78
4	2413967.51	1438072.64	748118.27	350529.16	168327.93	88117.36	44102.75
8	3015567.80	1327056.40	675448.54	335704.18	166541.80	88436.57	44533.45
16	2999239.61	1327013.24	664693.95	340032.17	166077.29	88095.65	45280.87
32	2525727.70	1320026.50	664845.66	332141.18	165841.30	88612.65	45074.19
64	2279954.86	1330579.19	667636.99	333192.89	166561.84	88288.84	44051.35
