run 0						
time	12V rail	5V rail	3,3V rail	POWER 12V	POWER 5V	POWER 3,3V
10.700	11.270	0.714	1.514	0.005	-0.637	12.508
10.800	11.271	0.715	1.514	0.114	-0.640	13.806
10.900	11.271	0.716	1.515	-0.322	-0.640	15.371
11.002	11.270	0.715	1.515	0.804	-0.640	16.901
11.100	11.268	0.713	1.512	-0.430	-0.631	18.374
11.200	11.271	0.715	1.515	0.114	-0.640	19.323
11.300	11.270	0.714	1.513	-0.431	-0.637	19.609
11.401	11.271	0.715	1.513	-0.031	-0.633	20.418
11.501	11.269	0.714	1.512	0.404	-0.641	21.072
11.600	11.270	0.714	1.514	0.078	-0.651	21.202
11.700	11.268	0.712	1.513	0.150	-0.651	21.910
11.800	11.271	0.715	1.515	-0.249	-0.652	23.392
11.902	11.269	0.713	1.514	0.150	-0.641	24.221
12.001	11.270	0.715	1.515	0.223	-0.646	24.758
12.100	11.270	0.714	1.514	-0.067	-0.648	24.245
12.201	11.270	0.714	1.514	-0.031	-0.648	24.202
12.300	11.270	0.714	1.515	0.513	-0.655	23.631
12.400	11.270	0.715	1.515	0.296	-0.649	23.046
12.501	11.269	0.713	1.513	0.223	-0.650	22.071
12.600	11.271	0.715	1.516	0.332	-0.668	21.507
12.701	11.270	0.714	1.515	0.078	-0.660	20.586
12.800	11.270	0.714	1.515	0.187	-0.669	21.479
12.900	11.271	0.715	1.515	-0.031	-0.661	21.118
13.000	11.270	0.714	1.513	0.404	-0.669	19.658
13.100	11.267	0.712	1.512	-0.067	-0.664	17.425
13.201	11.270	0.714	1.514	0.005	-0.674	15.237
13.300	11.271	0.716	1.515	-0.031	-0.682	13.178
13.402	11.271	0.715	1.515	0.259	-0.686	11.282
13.500	11.270	0.714	1.513	0.114	-0.685	9.498
13.601	11.270	0.714	1.513	0.005	-0.685	7.994
13.701	11.271	0.715	1.515	0.223	-0.691	7.061
13.801	11.270	0.715	1.514	0.005	-0.688	6.072
13.900	11.271	0.715	1.514	-0.176	-0.689	4.620
14.000	11.270	0.714	1.513	-0.176	-0.685	2.988
14.100	11.270	0.715	1.514	0.078	-0.688	1.542
14.201	11.269	0.713	1.512	0.259	-0.691	0.098
14.300	11.270	0.714	1.513	0.332	-0.695	-2.124
14.400	11.270	0.714	1.512	0.332	-0.696	-4.399
14.500	11.271	0.715	1.514	0.150	-0.691	-6.857
14.600	11.270	0.714	1.512	0.441	-0.695	-9.274
14.700	11.270	0.714	1.512	0.259	-0.690	-10.940
14.800	11.269	0.713	1.513	0.622	-0.696	-11.373
14.900	11.270	0.714	1.513	-0.285	-0.688	-12.553
15.001	11.270	0.714	1.513	0.041	-0.685	-14.058
15.100	11.269	0.713	1.513	0.259	-0.689	-15.769
15.201	11.268	0.712	1.512	-0.539	-0.642	-17.559
15.301	11.270	0.715	1.515	0.041	-0.656	-18.906
15.401	11.270	0.714	1.514	-0.503	-0.650	-18.952
15.501	11.270	0.715	1.514	0.187	-0.656	-19.625
15.600	11.270	0.715	1.514	-0.213	-0.660	-20.025
15.701	11.270	0.715	1.514	0.223	-0.656	-20.854
15.800	11.270	0.714	1.513	0.041	-0.651	-21.367
15.900	11.269	0.713	1.512	-0.213	-0.664	-22.635
16.000	11.267	0.711	1.512	-0.140	-0.666	-23.916
16.100	11.269	0.714	1.512	0.187	-0.666	-23.994
16.200	11.270	0.715	1.513	0.332	-0.679	-23.400
16.300	11.270	0.715	1.513	-0.031	-0.658	-23.356
16.400	11.269	0.713	1.512	0.187	-0.664	-23.307
16.501	11.268	0.712	1.512	0.041	-0.672	-22.387
16.601	11.269	0.714	1.513	0.078	-0.673	-21.280
16.700	11.267	0.711	1.511	0.114	-0.659	-20.382
16.800	11.267	0.711	1.512	-0.285	-0.664	-20.770
16.901	11.267	0.711	1.512	0.150	-0.660	-20.579
17.000	11.269	0.713	1.513	-0.067	-0.647	-19.779
17.102	11.267	0.711	1.511	0.259	-0.664	-18.974
17.200	11.264	0.708	1.510	-0.067	-0.632	-16.875
17.300	11.268	0.712	1.512	0.078	-0.653	-14.607
17.400	11.269	0.713	1.514	0.259	-0.636	-12.566
17.500	11.269	0.713	1.513	-0.067	-0.640	-10.598
17.600	11.268	0.712	1.512	-0.213	-0.617	-8.860
17.700	11.267	0.711	1.512	0.477	-0.627	-7.347
17.800	11.268	0.712	1.512	-0.430	-0.621	-6.187
17.901	11.268	0.713	1.513	0.187	-0.636	-5.054
18.000	11.269	0.713	1.514	0.150	-0.620	-3.827
