run 0						
time	Power PSU	Power SATA	Power PCIe	Power Memory		
15.901	64.117	2.858	4.320	1.179
16.000	58.403	3.627	3.445	1.082
16.101	50.788	2.983	4.119	1.585
16.200	59.965	3.658	4.922	1.777
16.301	60.857	3.511	4.659	1.395
16.400	52.225	3.784	3.532	1.167
16.500	55.565	3.431	3.550	1.627
16.600	57.639	3.574	4.545	1.460
16.701	63.762	3.390	3.906	1.471
16.800	55.381	3.983	4.880	0.897
16.900	57.364	2.655	3.314	1.108
17.000	61.407	3.139	4.791	1.231
17.100	56.646	4.439	3.983	1.371
17.201	63.059	3.595	3.863	0.560
17.301	47.444	3.155	3.390	1.060
17.401	59.164	2.985	4.119	0.494
17.501	57.491	4.106	4.516	0.714
17.600	57.743	3.619	3.199	1.015
17.701	55.123	4.839	4.035	0.696
17.800	61.518	3.060	3.678	1.653
17.900	61.493	4.123	4.370	1.272
18.001	59.498	4.208	4.463	1.945
18.099	57.028	3.663	4.655	1.375
18.200	52.756	3.911	3.917	1.056
18.301	60.426	3.003	4.558	1.467
18.400	62.438	4.752	3.431	1.568
18.501	55.858	3.070	4.687	2.047
18.600	55.594	4.162	3.521	1.492
18.701	59.019	2.449	3.405	1.384
18.801	54.790	3.053	4.269	1.327
18.900	57.982	3.167	3.560	1.718
19.001	54.729	2.734	4.072	1.258
19.100	52.401	3.381	4.152	1.030
19.200	52.609	2.237	4.717	1.782
19.300	62.160	3.871	4.155	0.892
19.400	62.897	3.575	3.138	0.874
19.501	63.193	3.168	3.245	0.962
19.601	58.752	3.241	3.981	0.790
19.700	54.498	2.893	4.816	1.136
19.800	53.049	3.390	4.208	0.732
19.900	51.733	3.326	3.393	0.657
19.999	58.596	3.762	3.750	0.762
20.100	54.405	3.356	3.345	0.332
20.201	55.982	3.797	4.475	1.403
20.301	66.839	3.822	3.360	1.717
20.400	65.726	3.675	3.883	1.151
20.501	55.985	3.151	3.279	1.211
20.601	59.080	4.201	4.590	1.557
20.701	60.387	4.104	4.073	1.188
20.801	56.831	3.568	3.244	1.208
20.900	54.371	3.372	4.369	1.084
21.000	59.261	3.112	3.446	1.460
21.100	55.568	3.749	3.854	1.563
21.200	53.063	2.822	3.840	0.806
21.301	61.897	3.384	4.256	0.464
21.400	57.105	2.478	4.682	0.682
21.501	62.108	4.014	3.926	1.250
21.600	53.415	2.596	3.523	1.649
21.700	54.693	3.243	4.664	1.796
21.800	49.185	4.225	4.554	1.351
21.899	55.452	4.472	4.021	1.180
22.000	64.411	4.022	4.650	1.412
22.100	54.424	3.568	4.109	1.728
22.200	58.227	3.881	4.811	1.801
22.300	53.634	4.073	4.272	1.461
22.399	58.382	3.834	4.731	1.270
22.501	56.027	4.583	4.246	1.090
22.601	50.364	3.194	3.226	0.567
22.700	55.333	4.432	4.373	0.648
22.799	56.686	2.723	3.890	1.164
22.900	57.120	3.650	3.920	0.705
23.000	60.809	3.906	3.769	0.845
23.101	56.746	2.856	3.629	0.329
23.200	55.606	4.083	3.307	1.123
