	1	2	4	8	16	32	64
1	48612.17	23593.25	99427.72	61166.93	53517.62	34141.41	18172.82
2	119124.74	58698.69	413355.43	277020.75	153670.59	77509.25	39321.56
4	254763.87	96544.55	914198.24	501332.38	273120.50	142391.92	69573.83
8	389786.13	183835.21	1539603.65	872869.97	476841.57	231011.75	123007.04
16	527307.02	277367.63	627215.39	314662.10	156026.63	77745.79	37860.13
32	539890.90	345517.91	570567.24	291176.74	148540.88	73049.70	35843.79
64	281635.55	222556.97	317641.27	162430.60	83088.43	40895.07	21110.04
