	1	2	4	8	16	32	64
1	99279.38	95237.90	48439.14	23959.90	12097.83	5973.60	3001.70
2	69696.41	34367.06	17669.21	10135.50	14896.52	8470.30	4112.12
4	74358.20	37713.53	23490.08	31313.18	21735.12	11291.52	3520.24
8	77810.86	49181.69	57737.66	50552.73	23092.66	12940.74	6814.64
16	84501.62	78485.74	96228.46	58535.80	13445.65	13072.90	7228.53
32	92209.20	45513.40	22194.92	11513.09	5451.77	2931.26	1882.54
64	80034.88	39863.86	19744.41	9992.76	8237.48	4657.53	4612.76
