run 0						
time	Power PSU	Power SATA	Power PCIe	Power Memory		
15.899	37.306	4.013	0.965	0.915
16.001	66.327	4.820	1.123	1.127
16.099	25.053	3.962	0.775	0.514
16.199	40.483	3.960	0.905	1.392
16.299	22.771	2.864	0.732	0.719
16.400	39.467	5.135	0.976	2.854
16.500	35.538	4.057	0.903	1.567
16.600	30.458	3.279	0.799	0.586
16.700	39.072	5.088	0.804	0.595
16.801	36.968	2.717	0.715	0.930
16.901	31.593	5.231	0.773	0.328
17.000	34.111	3.844	0.953	1.093
17.100	25.336	2.703	0.763	0.218
17.201	28.785	4.198	0.887	0.351
17.300	28.155	3.633	0.633	0.141
17.401	36.177	2.634	0.973	0.742
17.500	27.684	2.857	0.750	0.371
17.600	26.432	4.096	0.761	0.155
17.700	38.502	4.284	0.885	0.466
17.800	21.648	4.923	0.714	0.115
17.899	39.398	3.542	0.996	1.965
18.000	42.665	4.195	0.987	1.676
18.099	37.580	3.687	1.012	0.232
18.200	31.197	3.836	0.831	0.225
18.300	30.475	5.155	0.698	0.027
18.401	47.085	3.233	0.957	2.222
18.500	26.429	3.581	0.803	0.367
18.599	33.780	4.130	0.744	0.331
18.699	30.744	4.622	0.790	0.287
18.800	25.953	4.277	0.812	0.135
18.900	40.158	3.424	0.932	0.896
19.000	34.003	4.800	0.826	0.377
19.099	35.477	2.715	0.953	0.083
19.200	40.042	4.465	0.904	0.447
19.300	29.648	4.083	0.799	1.052
19.400	34.924	4.095	0.852	0.097
19.500	30.907	3.181	0.618	0.058
19.600	21.350	4.162	0.778	0.237
19.700	33.724	4.578	0.941	1.281
19.800	43.053	4.427	1.061	0.163
19.900	28.924	5.085	0.808	0.330
20.000	38.306	3.142	0.936	0.845
20.100	31.282	4.678	0.723	0.459
20.200	28.853	2.716	0.764	0.366
20.301	45.547	4.217	0.854	0.064
20.399	36.214	3.094	0.985	0.698
20.500	25.812	4.748	0.772	0.036
20.600	29.764	4.889	0.867	0.330
20.700	40.961	3.245	0.887	0.539
20.801	27.045	4.748	0.714	0.265
20.900	41.864	3.847	0.914	0.441
20.999	46.357	3.992	0.900	2.198
21.100	35.104	2.582	0.968	1.217
21.199	34.454	3.480	1.002	1.515
21.301	27.230	4.009	0.717	0.170
21.400	33.972	4.058	0.998	1.181
21.500	27.978	3.155	0.768	0.080
21.600	73.264	3.626	1.200	1.016
21.700	42.014	5.655	0.933	1.137
21.799	38.654	3.533	1.022	1.133
21.899	35.921	2.583	0.918	1.717
22.000	62.328	4.211	1.145	0.692
22.099	32.811	5.347	0.814	0.146
22.200	29.247	3.462	0.722	0.089
22.300	33.576	3.094	0.767	0.261
22.401	30.830	4.338	0.831	0.365
22.501	37.547	3.956	0.962	0.847
