	1	2	4	8	16	32	64
1	KiB/s	KiB/s	KiB/s	KiB/s	KiB/s	KiB/s	KiB/s
2	KiB/s	KiB/s	KiB/s	KiB/s	KiB/s	KiB/s	KiB/s
4	KiB/s	KiB/s	KiB/s	KiB/s	KiB/s	KiB/s	MiB/s
8	KiB/s	KiB/s	KiB/s	KiB/s	KiB/s	KiB/s	MiB/s
16	KiB/s	KiB/s	KiB/s	KiB/s	KiB/s	KiB/s	MiB/s
32	KiB/s	KiB/s	KiB/s	KiB/s	KiB/s	KiB/s	MiB/s
64	KiB/s	KiB/s	KiB/s	KiB/s	KiB/s	KiB/s	MiB/s
