	1	2	4	8	16	32	64
1	MiB/s	KiB/s	MiB/s	MiB/s	MiB/s	KiB/s	MiB/s
2	MiB/s	KiB/s	MiB/s	MiB/s	MiB/s	MiB/s	MiB/s
4	MiB/s	KiB/s	MiB/s	MiB/s	MiB/s	MiB/s	MiB/s
8	MiB/s	KiB/s	KiB/s	MiB/s	MiB/s	MiB/s	MiB/s
16	KiB/s	KiB/s	KiB/s	KiB/s	KiB/s	KiB/s	MiB/s
32	KiB/s	KiB/s	KiB/s	KiB/s	KiB/s	KiB/s	KiB/s
64	KiB/s	KiB/s	KiB/s	KiB/s	KiB/s	KiB/s	KiB/s
