run 0						
time	Power PSU	Power SATA	Power PCIe	Power Memory		
15.899	49.067	2.224	4.095	1.165
16.000	53.562	1.646	4.495	1.150
16.100	53.888	1.842	3.746	1.906
16.200	48.964	2.017	3.874	1.941
16.300	50.788	2.019	4.131	1.100
16.399	48.905	2.305	4.397	1.497
16.499	50.776	2.834	3.101	1.988
16.599	48.970	2.554	4.177	1.909
16.699	44.762	2.823	4.651	1.713
16.799	50.130	3.017	3.705	1.079
16.900	50.268	2.977	4.559	0.702
16.999	51.370	3.184	3.686	0.417
17.100	53.885	3.125	4.326	0.491
17.199	47.519	3.899	4.110	0.569
17.299	44.702	2.862	4.691	0.608
17.400	44.529	2.492	3.718	1.099
17.500	48.928	2.809	4.343	0.535
17.600	59.179	2.140	3.675	0.926
17.701	55.427	1.898	3.856	0.753
17.800	54.550	1.975	4.446	0.968
17.899	48.864	1.735	4.225	1.092
17.999	59.166	1.988	3.031	1.538
18.099	51.384	1.801	4.477	1.434
18.199	51.888	2.680	3.828	1.472
18.299	48.870	2.718	4.071	0.832
18.400	54.033	3.009	3.588	1.722
18.499	53.285	2.824	4.172	1.420
18.599	55.809	3.320	4.489	2.044
18.699	47.682	3.437	4.320	1.844
18.799	52.621	3.611	3.457	1.326
18.899	53.264	3.246	3.962	1.580
18.999	44.118	3.424	4.926	1.312
19.099	52.561	3.044	3.747	1.612
19.200	50.435	2.763	4.287	1.117
19.299	50.469	2.490	4.467	1.736
19.399	56.552	2.330	4.371	1.889
19.499	50.949	1.954	3.892	0.854
19.599	53.492	2.277	4.366	0.590
19.699	51.022	1.821	3.796	1.254
19.799	56.349	2.045	3.372	0.592
19.899	54.241	2.257	4.388	1.084
19.999	52.954	2.588	3.471	0.800
20.100	53.364	3.702	3.024	0.995
20.199	57.081	2.444	3.881	0.811
20.299	52.917	2.344	3.460	0.923
20.399	50.066	2.589	3.387	1.288
20.500	52.504	2.869	3.616	0.905
20.599	60.379	3.426	3.797	1.183
20.699	49.385	3.926	4.687	1.396
20.799	45.510	3.658	4.007	1.424
20.899	53.150	2.807	3.241	1.569
20.999	57.135	2.815	3.899	1.692
21.099	53.658	2.762	3.281	1.108
21.199	51.508	2.340	3.351	1.475
21.299	57.061	2.885	4.850	1.316
21.399	56.843	2.266	4.126	1.436
21.499	47.089	2.139	4.498	0.912
21.599	59.418	2.256	3.698	0.704
21.699	51.396	1.806	4.301	1.210
21.799	53.754	1.919	4.168	1.112
21.899	58.452	2.194	4.182	1.356
21.999	53.634	2.164	3.061	1.844
22.099	54.745	2.397	3.681	1.377
22.199	56.095	2.683	3.208	1.675
22.299	48.653	2.644	4.256	1.566
22.400	54.972	2.815	4.096	1.780
22.499	52.157	3.456	4.550	1.653
22.599	56.989	3.399	3.898	2.003
22.700	52.151	3.201	3.852	1.662
22.799	50.923	3.112	3.174	0.808
22.899	47.658	2.652	3.811	0.552
22.999	47.541	1.907	3.520	1.024
23.099	47.202	2.314	4.406	0.841
23.199	44.362	2.633	4.448	0.546
23.299	46.775	2.166	3.015	1.155
23.399	56.952	1.824	4.304	0.859
23.499	50.484	1.864	3.639	0.936
23.599	53.644	2.065	3.060	0.656
23.699	51.311	1.864	4.222	1.228
23.799	58.875	2.169	3.626	1.085
23.899	53.813	2.206	3.579	1.683
23.999	55.199	2.351	3.839	1.652
24.099	61.031	2.668	3.106	1.784
24.199	55.388	3.233	3.302	1.471
24.300	60.583	3.050	3.366	1.547
24.399	52.934	3.589	4.647	1.906
24.499	47.898	3.393	3.727	2.679
24.599	53.264	3.385	3.519	2.012
24.700	53.277	3.450	3.614	1.804
24.799	51.986	3.426	4.294	2.188
24.899	56.013	2.606	4.933	1.993
24.999	55.736	2.461	4.299	1.306
25.099	55.273	2.433	3.267	1.578
25.199	51.503	2.270	4.577	1.383
25.299	56.751	2.043	4.649	1.792
25.399	52.593	1.993	3.906	1.511
25.499	55.875	1.757	4.094	1.202
25.599	50.592	2.028	4.117	1.203
25.699	54.651	2.149	3.547	0.890
25.799	45.442	2.599	4.570	1.123
25.899	60.973	1.312	3.689	1.021
25.999	55.460	2.827	3.848	0.804
26.099	49.571	2.769	3.544	0.976
26.198	50.459	3.136	3.629	0.654
26.299	47.731	3.286	4.525	0.952
26.400	47.741	3.397	3.942	1.028
26.500	42.020	3.577	4.772	1.347
26.599	40.348	2.908	3.890	1.637
26.699	45.584	2.789	4.148	1.912
26.798	47.276	2.401	3.559	1.676
26.899	51.199	2.278	3.041	1.627
26.999	47.584	1.944	3.361	1.227
27.099	43.805	1.887	3.478	1.487
27.199	47.596	1.880	3.487	1.515
27.299	48.198	1.868	4.204	1.365
27.400	50.045	1.953	3.612	1.024
27.499	53.329	2.666	4.558	0.578
27.599	54.168	2.178	3.279	0.755
27.698	47.039	2.935	3.169	1.165
27.799	43.252	2.708	4.236	0.929
27.899	53.295	2.699	3.572	1.453
27.999	59.075	3.245	3.308	1.502
28.099	44.989	3.462	4.617	1.035
28.199	50.460	3.223	3.262	1.027
28.299	50.518	3.820	3.504	1.076
28.399	42.273	3.140	4.454	1.589
28.499	49.430	2.593	3.495	1.481
28.599	49.663	3.041	3.420	1.325
28.699	46.886	2.662	3.393	0.554
28.799	43.509	2.226	3.410	1.024
28.900	51.477	2.160	4.850	0.965
28.999	53.772	1.834	3.228	1.140
29.099	58.479	1.841	4.458	0.803
29.198	50.642	1.552	3.537	0.994
29.299	49.019	1.991	3.913	0.501
29.399	47.235	2.505	4.245	0.918
29.499	50.595	2.273	2.956	0.685
29.599	41.735	2.402	4.552	0.531
29.698	52.548	2.741	4.635	1.292
29.798	43.920	2.682	4.364	1.037
29.899	55.997	3.036	3.479	1.583
29.998	45.817	3.458	4.541	1.671
30.099	49.639	3.136	4.506	1.751
30.199	43.872	3.263	3.620	1.048
30.299	43.251	2.948	4.453	1.726
30.399	40.998	2.825	4.156	1.768
30.499	47.792	2.480	4.080	2.185
30.599	47.672	2.546	3.792	1.220
30.699	49.035	2.214	3.048	1.200
30.799	43.932	2.219	4.307	1.149
30.900	47.567	1.909	4.399	0.872
30.999	50.634	1.924	4.451	1.293
31.098	49.048	1.776	3.785	1.349
31.199	48.994	2.270	4.511	1.483
31.299	50.787	2.191	3.563	1.643
31.399	51.939	2.461	3.327	0.793
31.499	52.836	2.561	4.774	0.425
31.599	49.663	2.834	3.353	0.927
31.699	55.300	2.782	4.433	0.714
31.800	52.575	3.009	3.070	0.962
31.899	45.935	3.012	3.797	0.739
31.999	51.191	3.238	3.779	0.637
32.099	51.713	3.050	4.540	0.726
32.199	56.148	2.963	3.703	0.858
32.299	49.084	3.438	4.130	1.161
32.400	49.802	2.512	3.956	1.391
32.498	47.025	2.155	4.666	1.716
32.599	50.979	2.322	3.866	1.401
32.699	50.896	2.108	4.307	1.321
32.799	49.182	1.974	3.207	1.853
32.899	55.604	1.987	3.875	1.055
32.999	52.658	1.900	4.534	1.379
33.099	51.205	1.895	4.778	1.216
33.199	50.086	1.993	4.164	1.328
33.299	59.882	2.465	4.718	1.428
33.400	52.147	2.638	3.917	0.893
33.499	52.149	3.113	3.364	0.859
33.599	48.527	3.069	4.463	0.876
33.699	55.936	3.132	4.817	0.994
33.799	50.134	3.163	3.711	1.647
33.899	51.819	3.705	4.400	1.583
33.999	49.432	3.150	3.470	1.422
34.099	45.834	3.360	4.449	1.155
34.199	56.668	2.889	3.441	1.450
34.299	46.064	2.429	3.886	1.698
34.399	47.039	2.152	4.782	2.012
34.499	41.315	2.324	3.172	1.567
34.599	52.016	2.100	4.042	0.766
34.699	46.733	1.945	3.667	1.065
34.799	45.437	1.791	4.580	0.856
34.899	50.637	1.915	3.589	0.413
34.999	54.810	1.885	4.247	0.942
35.098	53.460	2.298	4.050	0.661
35.199	50.842	2.763	3.346	0.454
35.299	51.081	2.432	3.362	0.789
35.399	49.193	2.774	3.360	0.495
35.499	51.522	3.362	4.267	0.830
35.599	52.179	3.085	4.681	0.978
35.699	47.838	3.492	4.757	1.586
35.799	47.654	3.792	4.686	1.912
35.900	47.000	3.121	4.071	1.751
35.999	43.705	2.919	3.520	1.537
36.099	49.101	2.816	4.250	1.108
36.199	52.430	2.665	3.544	1.373
36.299	48.571	2.647	3.573	2.541
36.399	53.157	2.256	3.408	1.943
36.498	49.750	1.953	4.352	1.776
36.599	54.330	2.157	4.433	1.376
36.699	41.827	1.958	4.721	1.829
36.799	44.070	1.903	4.554	1.135
36.899	54.803	1.898	3.415	1.529
36.999	48.967	2.502	3.665	1.608
37.099	52.357	2.600	3.978	1.327
37.199	49.934	2.645	4.214	1.435
37.299	50.257	2.693	4.681	1.068
37.399	48.081	2.867	4.596	0.820
37.499	51.532	3.149	3.555	1.105
37.599	50.655	3.386	4.551	1.352
