	1	2	4	8	16	32	64
1	usec	usec	usec	usec	usec	usec	usec
2	nsec	nsec	usec	usec	usec	usec	usec
4	nsec	nsec	usec	usec	usec	usec	usec
8	nsec	nsec	usec	usec	usec	usec	usec
16	nsec	usec	usec	usec	usec	usec	usec
32	nsec	usec	usec	usec	usec	usec	usec
64	usec	usec	usec	usec	usec	usec	usec
