	1	2	4	8	16	32	64
1	100509.43	67138.97	102189.56	62370.06	52193.22	36038.96	20066.34
2	203751.98	128615.56	455495.02	283315.24	162463.96	86759.07	41590.12
4	318218.96	183204.43	967722.70	519819.99	281495.45	148529.38	71746.05
8	524011.31	221644.25	1568042.47	912314.19	470418.50	246872.53	116646.57
16	854775.66	353049.72	587325.94	307514.94	147229.29	74329.10	37818.92
32	1234760.26	492978.29	577395.45	287522.71	141085.14	70999.64	36303.14
64	1101891.25	385735.89	341688.15	161044.55	81332.66	40481.18	20268.22
