	1	2	4	8	16	32	64
1	MiB/s	MiB/s	MiB/s	MiB/s	MiB/s	MiB/s	MiB/s
2	MiB/s	MiB/s	MiB/s	MiB/s	MiB/s	MiB/s	MiB/s
4	MiB/s	MiB/s	MiB/s	MiB/s	MiB/s	MiB/s	MiB/s
8	MiB/s	MiB/s	MiB/s	MiB/s	MiB/s	MiB/s	MiB/s
16	MiB/s	MiB/s	MiB/s	MiB/s	MiB/s	MiB/s	MiB/s
32	MiB/s	MiB/s	MiB/s	MiB/s	MiB/s	MiB/s	MiB/s
64	MiB/s	KiB/s	MiB/s	MiB/s	MiB/s	MiB/s	MiB/s
