run 0						
time	Power PSU	Power SATA	Power PCIe	Power Memory		
15.900	44.188	4.180	0.881	2.061
16.000	39.337	3.663	0.833	1.453
16.100	33.022	4.435	0.664	1.043
16.199	38.394	4.254	0.819	0.987
16.300	35.683	4.532	0.871	1.009
16.399	36.439	6.441	0.898	1.198
16.501	41.016	4.431	0.800	0.612
16.599	44.718	3.546	0.886	0.726
16.699	27.221	4.136	0.597	0.150
16.801	32.556	4.465	0.630	0.278
16.900	54.392	5.819	1.041	1.024
17.000	42.330	4.415	0.967	0.980
17.100	48.279	3.935	0.982	0.877
17.201	51.720	5.414	0.940	0.752
17.299	51.549	4.359	0.983	1.008
17.400	47.073	4.151	0.955	1.136
17.500	50.644	3.522	0.902	1.226
17.600	47.118	4.343	0.898	1.401
17.700	52.945	2.955	0.957	1.241
17.799	43.206	4.737	0.958	1.514
17.899	47.411	3.310	1.001	0.958
18.000	46.502	4.536	0.930	1.631
18.101	48.609	4.341	1.101	1.958
18.200	51.140	3.296	1.003	2.089
18.300	50.424	3.844	0.973	1.696
18.400	49.122	3.602	0.971	1.909
18.499	51.542	4.895	1.057	2.015
18.600	45.262	3.119	1.089	1.698
18.699	49.748	4.882	0.927	1.297
18.800	48.271	4.110	0.920	1.727
18.901	44.022	3.611	0.924	1.525
18.999	58.543	3.680	1.119	1.805
19.100	52.115	4.374	1.096	1.416
19.200	59.701	3.912	1.054	0.564
19.299	55.725	3.268	1.062	0.673
19.399	55.124	4.663	1.101	1.138
19.501	55.561	3.748	1.024	0.636
19.599	51.192	4.257	1.082	1.115
19.700	59.455	4.761	1.112	1.314
19.800	50.845	3.939	1.008	0.576
19.900	54.730	4.011	0.943	0.948
19.999	36.802	4.932	0.857	0.550
20.099	36.009	4.958	0.930	1.029
20.200	35.673	3.826	0.824	0.750
20.299	46.729	3.733	0.912	1.177
20.400	49.876	4.393	0.907	1.641
20.499	53.611	3.687	1.058	1.428
20.600	54.074	5.089	1.004	1.117
20.700	51.981	2.883	1.060	1.424
20.799	47.958	3.836	0.915	1.227
20.899	47.835	3.993	0.986	1.430
21.001	48.601	4.222	1.024	1.309
21.099	53.146	3.584	1.011	0.840
21.199	52.040	3.857	0.913	0.778
21.299	55.193	4.023	0.943	1.251
21.400	45.571	4.265	0.912	0.983
21.499	49.564	4.491	0.954	1.638
21.599	59.132	3.321	1.221	1.693
21.699	59.107	4.068	1.018	1.954
21.799	49.767	4.062	1.045	1.648
21.900	54.520	4.231	1.054	1.182
21.999	55.487	3.708	1.074	1.909
22.099	52.858	3.855	1.078	2.479
22.199	56.567	4.330	1.002	2.064
22.299	56.714	3.362	0.924	0.997
22.400	46.913	4.843	0.959	0.835
22.499	49.218	4.478	1.089	0.780
22.599	53.158	4.447	0.870	0.994
22.699	48.295	3.885	1.133	0.809
22.799	55.065	3.596	1.044	0.517
22.899	59.474	4.408	1.127	0.489
23.000	63.221	4.822	1.169	0.584
23.100	47.400	4.965	1.182	1.347
23.199	62.554	4.443	1.206	0.916
23.300	53.466	3.314	1.047	1.166
23.400	57.328	3.808	1.030	1.403
23.499	53.326	3.322	1.044	1.441
23.599	54.247	4.668	1.121	1.776
23.700	49.123	4.413	1.060	1.446
23.800	50.568	4.372	1.040	1.827
23.900	64.263	4.768	1.044	1.162
24.000	53.001	4.257	1.066	2.147
24.099	52.031	4.050	1.039	1.840
24.200	55.325	3.839	1.124	2.300
24.299	51.655	3.421	1.025	1.897
24.399	45.404	4.327	0.997	1.779
24.499	55.093	5.360	1.003	2.116
24.599	47.876	2.867	0.953	1.437
24.699	47.677	5.148	1.050	1.398
24.800	52.151	4.955	0.924	1.765
24.899	48.644	3.225	1.014	1.761
24.999	44.603	3.930	1.003	1.718
25.099	47.398	3.210	0.997	1.162
25.200	35.729	4.339	0.921	0.786
25.299	34.211	3.853	0.779	0.575
25.400	53.402	3.294	0.975	1.067
25.499	47.987	3.204	1.049	1.069
25.599	46.737	3.710	1.030	0.822
25.699	54.526	3.660	1.139	1.120
25.800	43.976	4.932	0.958	1.163
25.900	43.682	4.372	0.977	0.884
25.999	47.359	3.113	0.952	0.974
26.100	45.201	3.470	0.941	1.065
26.199	48.173	3.937	0.960	1.597
26.299	45.902	3.980	0.906	1.449
26.399	51.681	4.009	1.014	1.936
26.500	51.774	4.272	0.983	1.679
26.599	53.455	5.348	0.928	1.375
26.700	43.865	4.408	0.864	1.427
26.799	47.952	4.698	0.906	1.338
26.900	44.415	3.297	1.019	1.651
27.001	59.679	3.733	1.009	1.334
27.099	52.404	4.303	0.957	0.784
27.200	55.107	3.181	1.062	0.689
27.299	48.214	3.959	0.964	1.272
27.400	42.408	2.728	0.902	0.964
27.500	50.964	2.929	1.047	1.387
27.600	50.049	4.242	0.977	1.735
27.699	46.486	3.343	0.940	1.627
27.800	47.056	4.493	0.980	0.997
27.900	52.596	3.083	0.952	1.039
28.000	49.214	4.407	0.984	1.206
28.100	61.412	3.940	1.044	1.674
28.200	60.227	4.911	1.012	1.082
28.299	56.005	3.448	1.012	0.525
28.399	57.129	3.130	1.093	1.231
28.499	51.851	4.255	1.061	0.648
28.599	52.733	4.343	1.126	0.825
28.699	49.124	4.359	1.062	0.890
28.800	61.091	3.069	1.066	1.077
28.900	54.709	4.631	0.990	0.544
29.000	48.730	3.483	0.998	1.016
29.099	49.016	4.517	0.924	0.742
29.199	43.579	4.334	0.927	0.474
29.299	51.694	2.727	0.983	0.852
29.399	44.924	4.696	0.978	1.175
29.499	50.305	4.773	0.885	1.248
29.599	47.137	4.815	0.967	1.662
29.699	48.076	4.457	0.902	1.471
29.800	47.237	3.326	1.038	1.597
29.899	47.971	3.753	0.920	1.685
30.000	52.502	2.952	0.995	1.743
30.100	54.757	4.462	1.052	2.371
30.199	42.539	2.760	1.072	2.030
30.300	48.244	4.252	1.115	1.190
30.399	55.186	4.087	1.104	1.635
30.499	53.062	3.152	0.998	1.650
30.600	49.950	3.517	0.976	1.385
30.699	44.895	3.471	0.865	1.215
30.799	47.163	4.152	0.923	1.641
30.900	45.558	2.854	0.877	1.802
31.000	46.281	3.878	0.907	0.979
31.099	46.549	2.234	0.926	0.715
31.199	50.454	4.225	0.872	0.836
31.299	47.842	4.158	0.890	0.999
31.400	50.389	3.154	1.051	0.991
31.500	46.594	4.040	0.952	0.583
31.599	47.660	4.830	1.001	0.866
31.700	51.041	5.297	0.991	0.738
31.799	47.116	4.299	0.834	0.978
31.899	49.051	3.158	0.977	0.695
31.998	43.302	3.570	0.861	0.752
32.100	97.851	2.687	1.529	1.407
32.199	46.420	4.078	0.942	1.539
32.299	56.353	2.770	1.016	1.679
32.400	54.046	5.142	0.986	1.990
32.499	57.100	3.153	1.021	1.162
32.599	54.650	4.217	1.000	1.485
32.700	60.650	3.870	1.211	1.522
32.798	61.342	4.020	1.145	1.276
32.899	53.063	5.157	1.040	1.699
33.000	59.780	3.515	0.972	0.738
33.099	60.646	4.232	1.274	1.111
33.200	52.800	3.651	1.109	1.083
33.300	58.699	4.445	1.118	1.458
33.399	47.486	4.909	1.106	1.245
33.498	57.220	3.103	1.016	1.577
33.600	43.970	3.271	0.952	1.198
33.699	47.361	4.885	1.100	1.186
33.799	46.096	4.163	0.902	1.356
33.900	43.342	3.487	1.014	2.015
33.999	44.793	3.341	1.018	1.558
34.099	50.219	3.876	0.983	1.629
34.199	52.700	5.084	0.997	1.303
34.299	43.913	3.056	0.924	0.987
34.400	50.283	3.956	0.899	1.135
34.500	45.464	4.214	0.854	0.793
34.599	47.991	4.263	1.016	1.190
34.700	46.525	3.837	0.875	0.877
34.799	51.464	3.426	1.002	0.674
34.899	65.148	4.178	1.237	0.833
34.998	57.847	4.673	1.062	0.698
35.098	57.195	3.437	1.110	1.012
35.198	55.473	3.682	1.011	1.043
35.299	34.856	2.522	0.861	1.321
35.399	56.210	4.375	1.016	1.652
35.500	47.726	3.778	1.001	1.925
35.599	56.610	4.391	1.113	1.682
35.700	49.902	3.747	1.023	1.076
35.799	52.059	3.267	1.018	1.179
35.900	56.699	3.594	1.034	1.796
35.999	51.179	3.921	1.107	1.993
36.099	52.431	4.608	0.964	1.693
36.199	57.528	4.314	0.927	1.525
36.299	49.150	3.752	1.035	1.940
36.398	52.862	4.338	1.030	1.625
36.500	48.270	3.853	1.040	1.402
36.599	53.465	3.561	0.990	1.606
36.699	49.570	4.095	1.014	1.833
36.798	49.390	2.769	0.920	1.557
36.898	50.438	2.739	0.959	1.129
36.999	42.177	4.670	0.847	0.476
37.099	40.688	3.365	0.779	1.120
37.198	45.725	3.087	0.991	0.986
37.298	45.629	4.586	0.968	1.690
37.399	51.434	3.432	0.850	1.277
37.499	49.350	4.514	0.921	1.559
37.599	44.543	3.628	1.035	1.620
37.699	51.284	3.910	0.990	1.238
37.799	51.177	4.431	1.014	1.328
37.900	51.095	2.986	0.870	1.894
37.999	44.799	3.367	0.915	2.099
38.100	38.200	2.824	0.851	1.687
38.199	41.034	4.829	0.849	1.403
38.298	42.843	4.333	0.900	1.608
38.399	35.828	3.743	0.902	1.085
38.499	45.541	4.553	0.711	1.419
38.598	35.082	3.946	0.866	1.381
38.698	36.559	4.303	0.881	1.788
38.799	46.543	4.926	0.800	1.121
38.899	36.641	4.767	0.668	0.686
38.999	35.074	4.569	0.905	0.946
39.099	41.076	5.605	0.919	1.017
39.198	37.335	5.531	0.786	1.136
39.300	39.953	4.162	0.861	1.459
39.399	41.254	2.362	0.781	1.743
39.499	41.738	4.215	0.894	1.660
39.598	37.590	4.937	0.786	1.203
39.699	36.910	3.875	0.768	1.143
39.799	36.296	5.092	0.715	1.575
39.899	38.197	6.122	0.904	2.039
39.999	37.112	3.946	0.864	1.886
40.099	34.251	5.172	0.904	1.624
40.199	41.722	3.456	0.885	1.159
40.299	35.832	4.461	0.779	1.617
40.399	33.713	4.982	0.805	1.224
40.498	50.092	4.901	0.907	1.020
40.599	35.170	4.678	0.798	0.748
40.699	35.635	5.542	0.768	0.798
40.800	27.859	4.683	0.791	0.163
40.899	37.696	3.876	0.779	0.559
41.000	37.180	5.679	0.924	0.698
41.098	36.289	5.261	0.865	0.032
41.199	33.435	3.447	0.641	0.184
41.298	50.361	5.434	1.079	1.462
41.399	24.170	3.202	0.675	0.316
41.499	39.451	5.402	0.848	1.306
41.598	36.379	4.641	0.719	1.202
41.699	32.591	5.282	0.791	1.610
41.800	33.084	5.088	0.774	1.293
41.899	44.852	4.945	0.894	0.668
41.998	29.103	4.760	0.756	0.565
42.098	29.418	4.843	0.812	1.370
42.199	36.673	4.651	0.933	1.473
42.300	30.032	3.779	0.749	0.732
42.399	27.106	8.064	0.682	1.722
42.499	40.570	4.202	0.909	0.961
42.599	36.488	4.985	0.743	1.771
42.698	34.555	5.492	0.746	1.382
42.800	37.257	4.144	0.923	1.333
42.898	29.106	5.616	0.786	1.647
42.999	30.744	2.949	0.635	0.248
43.100	34.432	4.698	0.825	1.697
43.200	32.958	4.223	0.828	1.377
43.299	39.858	4.531	0.826	0.736
43.399	30.237	5.728	0.830	0.843
43.500	40.487	4.940	0.803	1.809
43.599	37.108	4.904	0.868	1.152
43.700	43.449	3.858	0.915	1.395
43.798	29.616	5.987	0.765	0.620
43.898	40.073	4.229	0.883	1.030
43.999	56.758	4.609	1.000	1.781
44.098	40.877	4.670	0.872	1.830
44.199	47.907	2.589	1.114	0.880
44.299	46.612	4.001	0.996	1.421
44.400	38.833	3.205	0.803	1.372
44.499	47.286	3.807	0.971	1.701
44.599	50.478	2.304	0.976	1.642
44.700	48.539	3.939	0.861	1.503
44.799	42.332	3.106	0.964	1.077
44.899	50.884	3.626	0.928	1.158
44.999	50.183	3.958	0.933	1.229
45.098	48.816	2.997	1.054	1.311
45.198	49.586	3.509	0.914	1.504
45.300	51.339	4.893	0.986	1.424
45.398	52.865	4.220	1.139	1.167
45.499	49.033	3.928	1.049	1.087
45.600	55.707	3.602	0.910	0.565
45.699	54.506	4.768	0.977	1.092
45.800	50.223	3.615	0.942	0.957
45.898	48.223	2.957	0.933	0.851
45.999	49.166	2.864	1.007	0.590
46.099	48.429	4.503	1.004	1.090
46.200	55.248	5.332	0.964	0.859
46.299	53.128	3.484	0.999	0.864
46.398	50.404	3.978	0.887	1.283
46.498	55.291	2.825	1.005	1.338
46.599	46.616	5.840	0.950	1.480
46.698	50.801	3.652	1.059	1.753
46.799	51.578	5.022	1.025	1.862
46.899	43.736	3.223	1.073	1.545
46.998	46.262	3.168	0.993	1.520
47.098	54.640	4.847	1.000	1.304
47.198	48.055	3.331	1.068	1.446
47.298	54.313	5.241	0.986	1.685
47.398	53.743	4.017	0.971	1.119
47.499	46.701	4.134	0.875	0.707
47.599	34.388	3.405	0.908	1.072
47.700	37.653	5.110	0.872	1.028
47.799	40.629	5.277	0.881	1.682
47.899	43.984	5.416	0.994	1.217
47.998	45.383	5.818	0.833	1.288
48.098	41.038	4.949	0.876	1.451
48.198	38.920	5.364	0.905	1.413
48.300	42.109	3.822	0.967	1.650
48.398	53.567	2.710	1.080	1.462
48.498	51.355	5.259	0.812	2.053
48.599	48.509	2.922	0.988	0.707
48.698	46.061	4.969	1.066	0.792
48.800	48.344	3.406	0.841	0.693
48.898	49.023	4.297	0.947	0.987
48.999	55.933	4.368	1.018	0.597
49.099	37.944	4.500	0.851	0.857
49.200	38.338	4.435	0.809	0.611
49.298	36.282	4.888	0.804	0.963
49.400	30.577	4.235	0.586	0.241
49.498	48.651	4.866	0.968	1.355
49.598	48.998	3.980	0.943	1.971
49.698	48.959	4.025	0.952	1.830
49.800	50.822	3.728	1.032	1.486
