run 0						
time	Power PSU	Power SATA	Power PCIe	Power Memory		
15.900	37.257	3.250	0.869	0.891
16.000	35.745	4.174	0.890	1.014
16.100	40.994	5.279	0.826	1.076
16.199	36.596	4.817	0.977	0.922
16.299	34.148	3.545	0.895	1.581
16.399	45.319	4.867	0.885	0.816
16.499	40.159	4.780	0.887	0.885
16.599	37.080	5.138	0.863	0.385
16.699	41.983	5.529	0.886	0.840
16.799	37.905	2.802	0.772	0.875
16.899	42.696	4.570	0.836	1.250
16.999	38.480	4.687	0.868	1.650
17.100	40.306	4.681	0.856	1.864
17.199	40.779	3.551	0.789	1.973
17.299	41.900	4.275	0.898	1.504
17.400	41.570	5.312	0.915	1.584
17.499	37.869	3.181	0.844	2.089
17.599	44.873	4.811	0.908	1.861
17.700	41.195	4.583	0.886	1.863
17.799	44.419	3.363	0.898	1.331
17.899	40.295	4.506	0.842	1.330
17.999	39.215	3.423	0.897	1.587
18.100	42.879	4.846	0.925	1.342
18.201	37.039	3.042	0.826	1.102
18.299	36.467	5.109	0.996	1.361
18.399	38.206	3.559	0.805	1.700
18.499	43.630	4.028	0.708	1.065
18.600	41.507	4.734	0.760	0.904
18.699	46.977	4.279	0.774	0.594
18.799	40.912	4.737	0.922	0.643
18.900	41.629	3.869	0.870	1.077
18.999	43.912	4.557	1.010	0.773
19.099	38.756	4.724	0.890	1.187
19.199	36.427	3.595	0.928	0.841
19.298	42.595	4.428	0.798	0.997
19.399	41.452	4.489	0.811	1.005
19.499	37.029	4.465	0.805	1.255
19.599	45.015	4.774	0.753	0.943
19.700	43.992	4.468	0.739	1.471
19.800	43.543	3.895	0.883	1.445
19.899	45.005	3.781	0.780	1.509
19.999	40.060	4.382	0.758	1.560
20.099	42.298	4.501	0.898	1.561
20.200	38.420	4.465	0.834	1.662
20.300	39.571	2.887	0.850	1.391
20.399	44.316	4.632	0.948	1.492
20.499	36.784	4.389	0.815	1.273
20.600	43.619	4.210	0.755	0.562
20.700	36.751	4.390	0.795	1.041
20.799	49.517	4.269	0.943	1.042
20.899	43.365	4.841	0.868	1.541
21.000	37.850	3.782	0.779	1.431
21.099	39.389	3.746	0.842	1.931
21.200	44.873	3.517	0.818	1.814
21.299	38.201	4.099	0.911	0.874
21.399	37.882	4.018	0.844	1.432
21.499	37.915	3.099	0.834	1.881
21.599	45.913	5.082	0.775	1.669
21.699	41.434	2.940	0.850	1.901
21.800	37.932	5.005	0.800	1.060
21.899	41.225	4.813	0.889	0.880
22.000	43.578	5.073	0.860	0.963
22.099	39.710	4.187	0.769	0.815
22.199	38.537	4.106	0.845	0.657
22.300	35.133	4.683	0.815	0.897
22.399	43.174	3.554	0.798	1.049
22.499	41.531	4.373	0.813	0.773
22.599	34.637	3.793	0.861	0.816
22.700	40.660	4.576	0.810	1.178
22.799	39.462	3.442	0.723	1.101
22.900	36.447	4.148	0.851	1.207
22.999	32.226	4.507	0.797	1.193
23.100	37.129	3.193	0.811	1.655
23.199	35.615	5.107	0.835	1.790
23.299	39.856	3.034	0.889	1.136
23.400	43.633	4.286	0.929	1.596
23.499	35.130	4.501	0.806	1.723
23.599	37.845	5.054	0.822	2.079
23.700	32.015	3.561	0.757	1.935
23.799	37.432	3.302	0.849	1.818
23.899	37.091	5.022	0.840	1.505
24.000	39.292	3.564	0.886	1.862
24.100	38.876	4.845	0.942	1.276
24.199	44.874	5.085	0.948	1.301
24.299	42.990	4.085	0.935	1.409
24.400	42.224	3.757	0.862	1.665
24.499	41.664	3.918	0.941	1.267
24.599	42.178	3.698	0.772	0.699
24.700	37.822	3.963	0.962	1.223
24.799	42.344	4.306	0.845	0.988
24.900	32.257	3.761	0.850	1.256
24.999	38.385	4.093	0.860	1.236
25.099	39.565	5.444	0.743	1.554
25.200	39.714	2.993	0.832	1.397
25.300	43.386	4.597	0.781	1.318
25.398	37.545	4.357	0.844	1.640
25.499	36.904	4.546	0.904	1.971
25.600	37.118	4.980	0.903	2.433
25.699	45.103	4.208	0.865	1.985
25.799	41.776	4.713	0.760	1.454
