	1	2	4	8	16	32	64
1	92.5	173	183	183	183	180	183
2	66.4	67.8	68.9	69.3	67.2	67.0	69.5
4	57.2	59.6	57.8	59.1	60.1	57.4	60.9
8	69.1	70.7	72.3	70.0	73.2	75.8	75.6
16	73.5	74.2	74.7	75.0	77.0	82.6	81.3
32	129	126	127	124	128	127	129
64	107	107	99.3	105	103	105	104
